LKR,Sri Lanka Rupee,Roupie de Sri Lanka,Rupia de Sri Lanka,Sri-Lanka-Rupie,Rupia do Sri Lanka,スリランカ・ルピー,斯里蘭卡盧比,스리랑카 루피,Sri Lankaanse roepie,Rupia singalese
LRD,Liberian Dollar,Dollar Libérien,Dólar Liberiano,liberianischer Dollar,Dólar da Libéria,リベリア・ドル,利比裡亞元,라이베리아 달러,Liberiaanse dollar,Dollaro liberiano
LSL,Loti,Loti,Loti Lesothense (de Lesotho),Loti,Loti,ロチ,萊索托洛蒂,레소토 로티,Lesothaanse loti,Loti lesothiano
LTL,Lithuanian Litas,Litas Lituanien,Litas Lituano,Litas,Litas,リタス,立陶宛立特,리투아니아 리타스,Litouwse litas,Lita lituano
LUF,Luxembourg franc,Franc Luxembourgeois,Franco Luxemburgués,Luxemburgischer Franc,Franco luxemburguês,ルクセンブルグ・フラン,盧森堡法郎,룩셈부르크 프랑,Luxemburgse frank,Franco lussemburghese
LVL,Latvian Lats,Lats Letton,Lat Letón,Lats,Lats,ラッツ,拉脫維亞拉特,라트비아 라트,Letse lats,Lats lettone
LYD,Libyan Dinar,Dinar Libyen,Dinar Libio,Libyscher Dinar,Dinar da Líbia,リビア・ディナール,利比亞第納爾,리비아 디나르,Libische dinar,Dinaro libico
MAD,Moroccan Dirham,Dirham Marocain,Dirham Marroquí,Marokkanischer Dirham,Dirham marroquino,モロッコ・ディルハム,摩洛哥迪拉姆,모로코 디르함,Marokkaanse dirham,Dirham marocchino
MDL,Moldovan Leu,Leu de Moldovie,Leu Moldavo,Moldau-Leu,Leu,モルドバ・レウ,摩爾多瓦列伊,몰도바 레우,Moldavische leu,Leu moldavo
MGA,Malagasy Ariary,Malagasy Ariary,Ariary Malgache,Ariary,Ariary,アリアリ,馬達加斯加阿里亞里,마다가스카르 아리아리,Malagassische ariary,Ariary malgascio
MKD,Denar,Denar,Denar Macedonio,Denar,Denar,マケドニア・ディナール,前南馬其頓代納爾,마케도니아 데나르,Macedonische denar,Dinaro macedone
MMK,Kyat,Kyat,Kyat Myanmaro,Kyat,Kyat,チャット,緬元,미얀마 챠트,Myanmarese kyat,Kyat birmano
MNT,Tugrik,Tugrik,Tughrik Mongol,Tugrik,Tugrik,トゥグルグ,蒙古圖格裡克,몽골 투그릭,Mongolische tugrik,Tugrik mongolo
MOP,Pataca,Pataca,Pataca de Macao,Pataca,Pataca,パタカ,澳門幣,마카오 파타카,Macause pataca,Pataca di Macao
MRO,Ouguiya,Ouguija,Ouguiya Mauritana,Ouguiya,Ouguiya,ウギア,毛裡塔尼亞烏吉亞,모리타니 우기야,Mauritaanse ouguiya,Ouguiya mauritana
MTL,Maltese lira,Lire Maltaise,Lira Maltesa,Maltesische Lira,Lira maltesa,マルタ・リラ,馬耳他里拉,몰타 리라,Maltese lira,Lira maltese
MUR,Mauritius Rupee,Roupie de Maurice,Rupia Mauricia,Mauritius-Rupie,Rupia da Maurícia,モーリシャス・ルピー,毛里求斯盧比,모리셔스 루피,Mauritiaanse roepie,Rupia mauriziana
MVR,Rufiyaa,Rufiyaa,Rufiyaa Maldiva,Rufiyaa,Rufiyaa,ルフィヤ,馬爾代夫拉菲亞,몰디브 루피야,Maldivische rufiyaa,Rufiyaa delle Maldive
MWK,Kwacha,Kwacha de Malawi,Kwacha Malawiano,Malawi-Kwacha,Kwacha,マラウイ・クワチャ,馬拉維克瓦查,말라위 콰차,Malawische kwacha,Kwacha malawiano
